    ID                   X                   Y           Curve
     5       59.4833788847   -30797.5527343750   Abstrom_Nodes
     5       60.1941856121   -30790.1699218750   Abstrom_Nodes
     5       61.7704575037   -30778.9746093750   Abstrom_Nodes
     5       65.2504334425   -30764.3593750000   Abstrom_Nodes
     5       74.3430027937   -30744.5214843750   Abstrom_Nodes
     5       89.9999995206   -30730.7500000000   Abstrom_Nodes
     5       89.9999996106   -43514.8125000000   Abstrom_Nodes
     5       90.0000068511   -30735.6074218750   Abstrom_Nodes
     5       90.0000140915   -30739.5957031250   Abstrom_Nodes
     5       90.0000894567   -30737.7128906250   Abstrom_Nodes
     5       90.0003410745   -30739.0136718750   Abstrom_Nodes
     5       90.0009798624   -30740.4199218750   Abstrom_Nodes
     5       90.0023752987   -30743.2949218750   Abstrom_Nodes
     5       90.0064562527   -30750.4902343750   Abstrom_Nodes
     5       90.0167280925   -30758.5625000000   Abstrom_Nodes
     5       90.0499128406   -30763.8925781250   Abstrom_Nodes
     5       90.1294052755   -30755.4316406250   Abstrom_Nodes
     5       90.3250283157   -30757.5976562500   Abstrom_Nodes
     5       90.7991154348   -30765.2832031250   Abstrom_Nodes
     5       91.9278226052   -30782.3808593750   Abstrom_Nodes
     5       94.4815049325   -30803.7304687500   Abstrom_Nodes
     5      100.1139331018   -30826.4199218750   Abstrom_Nodes
     5      111.9341597711   -30850.6484375000   Abstrom_Nodes
     5      119.9999995385   -30854.5742187500   Abstrom_Nodes
     5      119.9999996585   -31038.6796875000   Abstrom_Nodes
     5      120.0000143992   -30849.2500000000   Abstrom_Nodes
     5      120.0000291398   -30849.2871093750   Abstrom_Nodes
     5      120.0001767061   -30849.2832031250   Abstrom_Nodes
     5      120.0006832318   -30849.2519531250   Abstrom_Nodes
     5      120.0018884354   -30849.2597656250   Abstrom_Nodes
     5      120.0047924024   -30849.2695312500   Abstrom_Nodes
     5      120.0141993815   -30849.3125000000   Abstrom_Nodes
     5      120.0388523525   -30849.4238281250   Abstrom_Nodes
     5      120.1144020817   -30849.7695312500   Abstrom_Nodes
     5      120.3241677991   -30850.6601562500   Abstrom_Nodes
     5      120.8546920529   -30852.6933593750   Abstrom_Nodes
     5      122.1570899001   -30857.0234375000   Abstrom_Nodes
     5      125.2797274104   -30865.4746093750   Abstrom_Nodes
     5      132.5009316912   -30874.6679687500   Abstrom_Nodes
     5      148.4008988848   -30905.4453125000   Abstrom_Nodes
     5      150.9999997130   -30899.6972656250   Abstrom_Nodes
     5      150.9999998640   -38892.9531250000   Abstrom_Nodes
     5      151.0000033769   -30898.2753906250   Abstrom_Nodes
     5      151.0000068899   -30899.1855468750   Abstrom_Nodes
     5      151.0000328460   -30898.2109375000   Abstrom_Nodes
     5      151.0001164680   -30898.4492187500   Abstrom_Nodes
     5      151.0003006457   -30898.4355468750   Abstrom_Nodes
     5      151.0007242117   -30898.9492187500   Abstrom_Nodes
     5      151.0017313383   -30899.9238281250   Abstrom_Nodes
     5      151.0046184189   -30902.3652343750   Abstrom_Nodes
     5      151.0118779373   -30905.6679687500   Abstrom_Nodes
     5      151.0307699033   -30908.3574218750   Abstrom_Nodes
     5      151.0731965192   -30906.9921875000   Abstrom_Nodes
     5      151.1650753059   -30907.8476562500   Abstrom_Nodes
     5      151.3547294476   -30910.8066406250   Abstrom_Nodes
     5      151.7553071417   -30916.9453125000   Abstrom_Nodes
     5      152.5867767372   -30928.2773437500   Abstrom_Nodes
     5      154.2580043115   -30944.7343750000   Abstrom_Nodes
     5      157.5097938814   -30967.0781250000   Abstrom_Nodes
     5      163.7201038637   -30998.7207031250   Abstrom_Nodes
     5      175.2590156831   -31057.8066406250   Abstrom_Nodes
     5      180.9999996461   -31050.3671875000   Abstrom_Nodes
     5      180.9999998271   -28409.1328125000   Abstrom_Nodes
     5      181.0000105746   -31041.4433593750   Abstrom_Nodes
     5      181.0000213221   -31043.8476562500   Abstrom_Nodes
     5      181.0000962974   -31042.1191406250   Abstrom_Nodes
